TGIF1_MOUSE.H11MO.0.A, Score: 3.197587164004674, P-value: nan
0.015	0.015	0.007	0.963
0.000	0.022	0.978	0.000
0.949	0.044	0.000	0.007
0.015	0.971	0.007	0.007
0.985	0.007	0.007	0.000
0.103	0.029	0.860	0.007
0.059	0.574	0.221	0.147
0.206	0.140	0.147	0.507
0.176	0.206	0.515	0.103

ATF1_MOUSE.H11MO.0.B, Score: 2.9472034401698597, P-value: nan
0.306	0.341	0.341	0.012
0.000	0.000	0.000	1.000
0.000	0.000	1.000	0.000
1.000	0.000	0.000	0.000
0.000	0.969	0.031	0.000
0.031	0.000	0.969	0.000
0.019	0.071	0.000	0.910
0.082	0.563	0.263	0.092
0.742	0.156	0.063	0.038
0.194	0.392	0.297	0.117

HXB1_MOUSE.H11MO.0.D, Score: 2.9367398584846276, P-value: nan
0.308	0.000	0.068	0.624
0.000	0.000	1.000	0.000
1.000	0.000	0.000	0.000
0.000	0.000	0.000	1.000
0.000	0.000	0.624	0.376
0.000	0.000	1.000	0.000
1.000	0.000	0.000	0.000
0.000	0.000	0.000	1.000
0.000	0.171	0.829	0.000
0.068	0.068	0.863	0.000

SNAI1_MOUSE.H11MO.0.C, Score: 2.922930463576159, P-value: nan
0.196	0.482	0.268	0.054
0.000	1.000	0.000	0.000
1.000	0.000	0.000	0.000
0.000	0.000	1.000	0.000
0.000	0.000	1.000	0.000
0.000	0.000	0.000	1.000
0.000	0.000	1.000	0.000
0.054	0.196	0.482	0.268

ITF2_MOUSE.H11MO.0.B, Score: 2.8984222059445996, P-value: nan
0.332	0.343	0.324	0.001
0.000	1.000	0.000	0.000
1.000	0.000	0.000	0.000
0.000	0.000	1.000	0.000
0.000	0.000	1.000	0.000
0.000	0.000	0.001	0.999
0.000	0.000	1.000	0.000
0.025	0.659	0.000	0.316
0.373	0.080	0.347	0.200

HXC6_MOUSE.H11MO.0.D, Score: 2.897087472406181, P-value: nan
0.663	0.021	0.146	0.171
0.000	0.000	0.000	1.000
0.000	0.000	1.000	0.000
1.000	0.000	0.000	0.000
0.000	0.000	0.000	1.000
0.000	0.000	0.000	1.000
0.000	0.000	0.150	0.850
1.000	0.000	0.000	0.000
0.000	0.000	0.000	1.000
0.000	0.000	0.150	0.850
0.725	0.083	0.042	0.150
0.000	0.767	0.150	0.083
0.150	0.000	0.000	0.850
0.000	0.000	0.000	1.000
0.021	0.021	0.171	0.788

ZN423_MOUSE.H11MO.0.D, Score: 2.893257074051776, P-value: nan
0.000	0.000	1.000	0.000
0.409	0.000	0.591	0.000
0.000	1.000	0.000	0.000
1.000	0.000	0.000	0.000
0.000	1.000	0.000	0.000
0.000	1.000	0.000	0.000
0.000	1.000	0.000	0.000
0.545	0.000	0.000	0.455
0.955	0.000	0.000	0.045
0.000	0.000	1.000	0.000
0.000	0.000	1.000	0.000
0.000	0.000	1.000	0.000
0.000	0.000	0.000	1.000
0.000	0.000	1.000	0.000
0.182	0.818	0.000	0.000

NFE2_MOUSE.H11MO.0.A, Score: 2.8697205298013246, P-value: nan
0.680	0.026	0.292	0.002
0.002	0.000	0.010	0.988
0.002	0.000	0.990	0.008
0.980	0.004	0.010	0.006
0.036	0.768	0.164	0.032
0.058	0.010	0.020	0.912
0.060	0.848	0.056	0.036
0.870	0.008	0.072	0.050
0.016	0.000	0.968	0.016
0.022	0.942	0.022	0.014
0.872	0.024	0.056	0.048
0.278	0.142	0.406	0.174
0.328	0.116	0.164	0.392
0.350	0.112	0.070	0.468

MAFF_MOUSE.H11MO.1.A, Score: 2.8475158940397356, P-value: nan
0.034	0.018	0.014	0.934
0.008	0.012	0.966	0.014
0.028	0.936	0.026	0.010
0.016	0.042	0.006	0.936
0.014	0.012	0.914	0.060
0.914	0.018	0.010	0.058
0.008	0.310	0.612	0.070
0.050	0.076	0.052	0.822
0.132	0.714	0.062	0.092
0.802	0.030	0.098	0.070

NKX28_MOUSE.H11MO.0.C, Score: 2.8160352551616676, P-value: nan
0.025	0.201	0.201	0.574
0.000	0.000	0.000	1.000
0.000	0.775	0.225	0.000
0.951	0.000	0.049	0.000
1.000	0.000	0.000	0.000
0.000	0.000	1.000	0.000
0.000	0.000	0.598	0.402
0.598	0.000	0.402	0.000
0.025	0.574	0.201	0.201

